Val_sample_ID,precision,accuracy,recall,f1_score
0,0.705685618729097,0.6,0.7455830388692579,0.7250859106529209
1,0.6947368421052632,0.58,0.7096774193548387,0.7021276595744681
2,0.7152777777777778,0.6025,0.7279151943462897,0.7215411558669002
3,0.6737588652482269,0.55,0.6834532374100719,0.6785714285714285
4,0.6725978647686833,0.545,0.6774193548387096,0.675
5,0.7517482517482518,0.605,0.7119205298013245,0.7312925170068025
6,0.6996466431095406,0.58,0.7046263345195729,0.7021276595744681
7,0.6842105263157895,0.5675,0.7014388489208633,0.6927175843694494
8,0.717391304347826,0.59,0.6971830985915493,0.7071428571428572
9,0.6738351254480287,0.58,0.7094339622641509,0.6911764705882353
10,0.7220216606498195,0.58,0.6872852233676976,0.7042253521126761
11,0.7197231833910035,0.6075,0.7323943661971831,0.7260034904013962
12,0.7169117647058824,0.5825,0.6842105263157895,0.7001795332136446
13,0.7288732394366197,0.61,0.7237762237762237,0.7263157894736842
14,0.7101449275362319,0.5925,0.7025089605734767,0.7063063063063063
15,0.7164179104477612,0.565,0.6620689655172414,0.6881720430107527
16,0.7328519855595668,0.6025,0.7048611111111112,0.7185840707964603
17,0.7003610108303249,0.555,0.671280276816609,0.6855123674911661
18,0.6749116607773852,0.5825,0.7180451127819549,0.6958105646630237
19,0.7439446366782007,0.6225,0.7363013698630136,0.740103270223752
min,0.6725978647686833,0.545,0.6620689655172414,0.675
max,0.7517482517482518,0.6225,0.7455830388692579,0.740103270223752
stdev,0.023453517275054295,0.021026299321513873,0.022410020276037286,0.01835165270779492
mean,0.707752539980564,0.5849999999999999,0.7045691577618464,0.7058998015520196
