,0
Karmn,0
Name,0
Comp,0
GJ,914
RA_J2016_deg,0
DE_J2016_deg,0
RA_J2000,0
DE_J2000,0
l_J2016_deg,1
b_J2016_deg,1
Ref01,0
SpT,0
SpTnum,0
Ref02,0
Teff_K,555
eTeff_K,555
logg,560
elogg,560
[Fe/H],560
e[Fe/H],1863
Ref03,555
L_Lsol,555
eL_Lsol,555
Ref04,555
R_Rsol,565
eR_Rsol,565
Ref05,565
M_Msol,565
eM_Msol,565
Ref06,566
muRA_masa-1,0
emuRA_masa-1,0
muDE_masa-1,0
emuDE_masa-1,0
Ref07,0
pi_mas,29
epi_mas,29
Ref08,29
d_pc,0
ed_pc,0
Ref09,0
Vr_kms-1,573
eVr_kms-1,573
Ref10,573
ruwe,150
Ref11,150
U_kms-1,676
eU_kms-1,717
V_kms-1,670
eV_kms-1,717
W_kms-1,667
eW_kms-1,717
Ref12,648
sa_m/s/a,33
esa_m/s/a,35
Ref13,33
SKG,1858
Ref14,1851
SKG_lit,2162
Ref14_lit,2162
Pop,717
Ref15,717
vsini_flag,1333
vsini_kms-1,1333
evsini_kms-1,1940
Ref16,1333
P_d,1629
eP_d,1997
Ref17,1629
pEWHalpha_A,296
epEWHalpha_A,1057
Ref18,296
log(LHalpha/Lbol),2116
elog(LHalpha/Lbol),2116
Ref19,2116
1RXS,1661
CRT_s-1,1528
eCRT_s-1,1540
HR1,1598
eHR1,1598
HR2,1661
eHR2,1661
Flux_X_E-13_ergcm-2s-1,1497
eFlux_X_E-13_ergcm-2s-1,1518
LX/LJ,1499
eLX/LJ,1520
Ref20,1495
Activity,1872
Ref21,1872
FUV_mag,1895
eFUV_mag,1895
NUV_mag,1372
eNUV_mag,1372
Ref22,1371
u_mag,1127
eu_mag,1128
Ref23,1127
BT_mag,1604
eBT_mag,1604
Ref24,1604
B_mag,280
eB_mag,280
Ref25,280
BP_mag,0
eBP_mag,0
Ref26,0
g_mag,13
eg_mag,13
Ref27,13
VT_mag,1559
eVT_mag,1559
Ref28,1559
V_mag,277
eV_mag,277
Ref29,277
Ra_mag,124
Ref30,122
r_mag,14
er_mag,15
Ref31,14
GG_mag,0
eGG_mag,0
Ref32,0
i_mag,19
ei_mag,24
Ref33,19
RP_mag,0
eRP_mag,0
Ref34,0
IN_mag,246
Ref35,246
J_mag,0
eJ_mag,4
H_mag,2
eH_mag,2
Ks_mag,0
eKs_mag,1
QFlag_2M,0
Ref36,0
W1_mag,18
eW1_mag,19
W2_mag,18
eW2_mag,18
W3_mag,18
eW3_mag,18
W4_mag,18
eW4_mag,97
QFlag_WISE,18
Ref37,18
Multiplicity,0
WideWDS,1851
Widerho_arcsec,1845
eWiderho_arcsec,2029
Ref38,2018
WideCompanionName,1853
WideCompanionSpT,2062
CloseWDS,1887
Closerho_arcsec,1821
eCloserho_arcsec,2018
Ref39,1839
CloseCompanionSpT,2140
RV,1618
Planet,0
Ref40,2134
PlanetNum,6
LoRes_spectrum,1786
HiRes_spectrum,1732
LoRes_imaging,2076
HiRes_imaging,1022
Class,0
Survey,1811
Notes,1868
Gaia_id_1,0
2MASS_id,0
TIC_id,0
